# UName,Address,Continent,Country,Country,Code,State/City,Provider,Coordinates (Long),Coordinates (Lat)
ams2,speedtest-ams2.digitalocean.com,Europe,Netherlands,NL,Amsterdam,DigitalOcean,4.8945,52.3667
europe-west4,europe-west4-gce.cloudharmony.net,Europe,Netherlands,NL,Eemshaven,Google,6.8355,53.4386
ast-west-europe,eu-west.azure.cloudharmony.net,Europe,Netherlands,NL,Netherlands,Microsoft,52.370216,4.895168
ams-nl,ams-nl-ping.vultr.com,Europe,Netherlands,NL,Amsterdam,Vultr,4.895,52.367
ap-southeast-1,ec2.ap-southeast-1.amazonaws.com,Asia,Singapore,SG,Singapore,Amazon,103.8,1.37
sgp1,speedtest-sgp1.digitalocean.com,Asia,Singapore,SG,Singapore,DigitalOcean,103.8198,1.3521
asia-southeast1,asia-southeast1-gce.cloudharmony.net,Asia,Singapore,SG,Singapore,Google,103.709,1.3404
lin-ap-south,speedtest.singapore.linode.com,Asia,Singapore,SG,Singapore,Linode,103.8198,1.3521
ast-southeast-asia,asia-southeast.azure.cloudharmony.net,Asia,Singapore,SG,Singapore,Microsoft,103.84,1.3622
sgp,sgp-ping.vultr.com,Asia,Singapore,SG,Singapore,Vultr,103.709,1.3404
ast-south-africa-north,southafrica-north.azure.cloudharmony.net,Africa,South Africa,ZA,Johannesburg,Microsoft,28.0473,-26.2041
ap-northeast-2,ec2.ap-northeast-2.amazonaws.com,Asia,South Korea,KR,Seoul,Amazon,126.98,37.56
ast-korea-south,korea-south.azure.cloudharmony.net,Asia,South Korea,KR,Busan,Microsoft,129.0756,35.1796
ast-korea-central,korea-central.azure.cloudharmony.net,Asia,South Korea,KR,Seoul,Microsoft,126.978,37.5665
eu-north-1,ec2.eu-north-1.amazonaws.com,Europe,Sweden,SE,Stockholm,Amazon,18.06,59.32
asia-east1,asia-east1-gce.cloudharmony.net,Asia,Taiwan,TW,Changhua County,Google,120.562,24.071
me-east-1,me-east-1.alibaba.cloudharmony.net,Asia,United Arab Emirates,AE,Dubai,Alibaba,55.2708,25.2048
eu-west-2,ec2.eu-west-2.amazonaws.com,Europe,United Kingdom,UK,London,Amazon,-0.1,51
lon1,speedtest-lon1.digitalocean.com,Europe,United Kingdom,UK,London,DigitalOcean,-0.4,53
europe-west2,europe-west2-gce.cloudharmony.net,Europe,United Kingdom,UK,London,Google,-0.1278,51.5074
lin-eu-west,speedtest.london.linode.com,Europe,United Kingdom,UK,London,Linode,-0.2563,53.1343
ast-uk-west,uk-west.azure.cloudharmony.net,Europe,United Kingdom,UK,Cardiff,Microsoft,-3.1791,51.4816
ast-uk-south,uk-south.azure.cloudharmony.net,Europe,United Kingdom,UK,London,Microsoft,-0.6,52.875
lon-gb,lon-gb-ping.vultr.com,Europe,United Kingdom,UK,London,Vultr,-0.375,51.2643
us-west-1,ec2.us-west-1.amazonaws.com,North America,United States of America,US,California,Amazon,-121.96,37.35
us-east-2,ec2.us-east-2.amazonaws.com,North America,United States of America,US,Ohio,Amazon,-83,39.96
us-west-2,ec2.us-west-2.amazonaws.com,North America,United States of America,US,Oregon,Amazon,-123.88,46.15
us-east-1,ec2.us-east-1.amazonaws.com,North America,United States of America,US,Virginia,Amazon,-78.45,38.13
nyc1,speedtest-nyc1.digitalocean.com,North America,United States of America,US,New York City,DigitalOcean,-76.235,41.232
sfo1,speedtest-sfo1.digitalocean.com,North America,United States of America,US,San Francisco,DigitalOcean,-122.4194,37.7749
us-central1,us-central1-gce.cloudharmony.net,North America,United States of America,US,Iowa,Google,-95.51,41.13
us-west2,us-west2-gce.cloudharmony.net,North America,United States of America,US,Los Angeles,Google,-118.24,34.05
us-west1,us-west1-gce.cloudharmony.net,North America,United States of America,US,Oregon,Google,121.12,45.37
